Player,success_probability
Yaxel Lendeborg *,0.9952363839951615
Tayton Conerway *,0.9326302065434589
Xaivian Lee *,0.9267176793425345
Taye Fields,0.872478840959919
Tre Carroll *,0.8376192247756145
Ven-Allen Lubin *,0.7688730742171428
Tre White *,0.5784083384614385
Tyeree Bryan *,0.5584260521735214
Tavion Banks *,0.4878237821208032
Sebastian Thomas,0.4868136072392046
Xzayvier Brown *,0.46934940769490713
Trey Fort *,0.44110815734094716
Ugnius Jarusevicius *,0.36504032950516513
Sincere Parker *,0.3490799688438485
Trenton McLaughlin,0.3061771892037324
Silas Demary Jr. *,0.3055522208434554
Tajavis Miller *,0.30466080511788046
Terrance Arceneaux *,0.2691300619604573
Zvonimir Ivisic *,0.25268171437068404
Sean Durugordon,0.23998895370175777
Zeke Mayo,0.226440225449555
Shelton Williams-Dryden *,0.213612801642591
Tre Dinkins *,0.1992198033151489
Tarence Guinyard *,0.17872133212737837
Tre Holloman *,0.17164097609030998
Zavian McLean,0.1556227416411528
TJ Simpkins *,0.15222264660832577
Tyon Grant-Foster *,0.15051791596771705
Samage Teel,0.14462376482612158
Wesley Yates III *,0.14092275304054144
Tanner Toolson *,0.1390100879906384
Tae Davis *,0.13748281162767864
Trey Bonham,0.13680872255852453
Ty Johnson,0.13388576258726226
TK Simpkins *,0.13286387460405213
Tim Moore *,0.1282484465622424
Sterling Young *,0.1274829227621069
Tre Donaldson *,0.09939378682669242
Sebastian Mack *,0.09374540110080273
Tru Washington *,0.07641362533176722
Zae Blake *,0.07594022545313817
Treysen Eaglestaff *,0.07241934546301504
Todd Brogna *,0.06316040827701408
Zhuric Phelps,0.056052664349956434
Yame Butler *,0.05599914045207984
Will Johnston *,0.04807108878438215
Terrence Brown *,0.04636968253817773
Taje' Kelly,0.04605095817337953
Vladimer Salaridze *,0.044034759749287555
Sam Lewis *,0.04295645568246566
Themus Fulks *,0.042353708813039896
Wilson Dubinsky *,0.04152283127175553
Tariq Francis *,0.040266621022937765
Tyler Harris *,0.03949372159163527
Zawdie Jackson *,0.033955046183230024
Zion Stanford *,0.03387644217182687
Zarique Nutter *,0.0324489844298007
Vincent Brady II *,0.02900989974736744
Steven Jamerson II *,0.028381523687808517
Tyler Schmidt *,0.028202959749996273
TJ Wainwright *,0.027362936682593975
Sean Newman Jr. *,0.02025094516817886
Stephen Olowoniyi *,0.020030163205333754
Scotty Washington *,0.019732792927916146
Xavier Bell,0.019609790364603374
Yaphet Moundi *,0.018981896240832585
Will McClendon *,0.018168149450546657
Tariq Ingraham,0.01640776520521018
Sean Craig *,0.015608430907110954
Sami Pissis *,0.015211906251252086
Saint Thomas,0.013430374667038544
Tyren Moore *,0.012935814356324498
Taylor Bol Bowen *,0.012104834107799816
Vukasin Masic *,0.009099239756819142
Truth Harris *,0.009045203082613326
Terrance Ford Jr. *,0.008903333754010378
Scooter Williams Jr. *,0.008418007747286238
Sebastian Akins *,0.007987855016908307
Xavier Brown *,0.006805192191167705
Tyler Johnson,0.006689244718004636
Tyson Brown *,0.006362718276889082
Tahj Staveskie *,0.006048678294766298
Toneari Lane *,0.005510980117381716
Sam Brown *,0.00542652972980345
Stephon Payne III *,0.005397438203521172
Tanner Thomas *,0.005255194022890666
Vasean Allette *,0.005079216750834947
Wesley Cardet,0.004856906781761795
Sean Stewart *,0.004585903473684657
Tanner Cuff *,0.004468650445850891
Solomon Washington *,0.00440541123554123
Sadaidriene Hall,0.004211983798352521
"Teddy Washington, Jr. *",0.004201807230328343
Valentino Pinedo *,0.004110294560876727
Tayshawn Comer *,0.0038629483835870256
Stephen Giwa *,0.003152317197480641
Trey Deveaux *,0.0029711720258937054
Zach Bell *,0.002965993775378179
Sebastian Hartmann *,0.002691911164504371
Trey Thomas *,0.0026903888952155763
Shahar Lazar,0.0026166236977386015
Wilhelm Breidenbach *,0.0025551508518311603
Rylan Griffen *,0.0025230878079152033
Veljko Ilic *,0.0023996409000644676
Terrance Jones *,0.0023356114898767082
TJ Thomas,0.0020583452844282176
Yann Farell *,0.0015036500514500404
Seth Hubbard *,0.0013742507004348029
Tyson Dunn *,0.0013565968651229239
Tyrone Marshall *,0.0013451791145027523
Tyshawn Archie *,0.0012785384659422968
Zachary Davis *,0.0011971302041004776
Toby Nnadozie *,0.0011168583779343096
Sean Smith *,0.0010854121967676144
Stoney Hadnot *,0.0010514358951140216
Shawn Phillips Jr. *,0.00103295451658196
Tunde Vahlberg Fasasi *,0.000972430080867827
Scotty Middleton *,0.0009564750466949217
Zaire Williams *,0.0009515895243768798
Ty Harper *,0.0008666721189193947
Tyler Mrus *,0.0007718723190645228
Vianney Salatchoum *,0.0007478274086506747
Tyreese Watson *,0.0007255638090927604
Tanahj Pettway,0.0006777200033130504
Tony Duckett *,0.0005596589085860434
Sencire Harris *,0.0005580614154005773
Simeon Wilcher *,0.0005259232433581427
Trey Thomas,0.0005204153834481137
Santiago Trouet *,0.0002704003547676845
Zion Russell *,0.00023775237345907783
Sam Silverstein *,0.0002367328367401518
Sam Alamutu *,0.00023552400546757112
Wayne McKinney III,0.00020686353821656577
Ty-Laur Johnson *,0.00014966606337299933
Yuri Covington,0.00014481443390887582
Wilguens Jr. Exacte *,0.00010380377796182836
Shaqir O'Neal *,9.721439449930709e-05
Zion Bethea,9.626489443481309e-05
Vice Zanki *,8.21615057894863e-05
Stephon Roberts,3.974502830455646e-05
Tom Beattie *,3.8739228420549405e-05
Tsvet Sotirov *,3.517038283699405e-05
Shaquil Bender *,3.3750674542741685e-05
Saxby Sunderland *,1.8966178847581097e-05
Tan Yildizoglu,1.270939844216162e-05
Tyje Kelton,9.105935612773356e-06
TJ Gadsden,6.772859529212731e-06
Vincent Delano *,2.9926988499767257e-06
Zach Reinhart,7.697543054902527e-07
Tristan Gross *,1.7640189970232266e-07
